Country_Name,Tax_Indicator_Name,Lowest_Level_Portfolio_Name,Balance_Sheet_Component_Name,IFRS_Earnings_Component_Name,Scenario_Name,Currency_Name,Par_Status_Name,Amount,Source_File,Ingestion_TS,Reporting_Date
Japan,"Pre-Tax, Pre-MI",Total Japan,Liabilities Detail - Gross of Reinsurance (GMM/PAA) Impacts to OCI,BE,RF +100bps,Canadian Dollar,null,2730.273301,IFRS17 25Q4 Consolidated Sensitivities Results (part 2) - 20260206.xlsb,2026-05-08T12:18:32.046739Z,12/31/2025
Japan,"Pre-Tax, Pre-MI",Total Japan,Liabilities Detail - Gross of Reinsurance (GMM/PAA) Impacts to OCI,BE,RF -100bps,Canadian Dollar,null,-3271.174177,IFRS17 25Q4 Consolidated Sensitivities Results (part 2) - 20260206.xlsb,2026-05-08T12:18:32.046739Z,12/31/2025
Japan,"Pre-Tax, Pre-MI",Total Japan,Liabilities Detail - Gross of Reinsurance (GMM/PAA) Impacts to OCI,BE,RF -200bps,Canadian Dollar,null,-7233.694997,IFRS17 25Q4 Consolidated Sensitivities Results (part 2) - 20260206.xlsb,2026-05-08T12:18:32.046739Z,12/31/2025
Japan,"Pre-Tax, Pre-MI",Total Japan,Liabilities Detail - Gross of Reinsurance (GMM/PAA) Impacts to OCI,BE,RF +200bps,Canadian Dollar,null,5032.117589,IFRS17 25Q4 Consolidated Sensitivities Results (part 2) - 20260206.xlsb,2026-05-08T12:18:32.046739Z,12/31/2025
Japan,"Pre-Tax, Pre-MI",Total Japan,Liabilities Detail - Gross of Reinsurance (GMM/PAA) Impacts to OCI,BE,RF +300bps,Canadian Dollar,null,6991.65004,IFRS17 25Q4 Consolidated Sensitivities Results (part 2) - 20260206.xlsb,2026-05-08T12:18:32.046739Z,12/31/2025
Japan,"Pre-Tax, Pre-MI",Total Japan,Liabilities Detail - Gross of Reinsurance (GMM/PAA) Impacts to OCI,BE,"Partial RF-50, all tenors up to 2yr",Canadian Dollar,null,-2.403882771,IFRS17 25Q4 Consolidated Sensitivities Results (part 2) - 20260206.xlsb,2026-05-08T12:18:32.046739Z,12/31/2025
Japan,"Pre-Tax, Pre-MI",Total Japan,Liabilities Detail - Gross of Reinsurance (GMM/PAA) Impacts to OCI,BE,"Partial RF-50, all tenors up to 5yr",Canadian Dollar,null,-24.84477745,IFRS17 25Q4 Consolidated Sensitivities Results (part 2) - 20260206.xlsb,2026-05-08T12:18:32.046739Z,12/31/2025
Japan,"Pre-Tax, Pre-MI",Total Japan,Liabilities Detail - Gross of Reinsurance (GMM/PAA) Impacts to OCI,BE,"Partial RF-50, all tenors up to 7yr",Canadian Dollar,null,-79.2940168,IFRS17 25Q4 Consolidated Sensitivities Results (part 2) - 20260206.xlsb,2026-05-08T12:18:32.046739Z,12/31/2025
Japan,"Pre-Tax, Pre-MI",Total Japan,Liabilities Detail - Gross of Reinsurance (GMM/PAA) Impacts to OCI,BE,"Partial RF-50, all tenors up to 10yr",Canadian Dollar,null,-499.7180823,IFRS17 25Q4 Consolidated Sensitivities Results (part 2) - 20260206.xlsb,2026-05-08T12:18:32.046739Z,12/31/2025
Japan,"Pre-Tax, Pre-MI",Total Japan,Liabilities Detail - Gross of Reinsurance (GMM/PAA) Impacts to OCI,BE,"Partial RF-50, all tenors up to 20yr",Canadian Dollar,null,-892.0612002,IFRS17 25Q4 Consolidated Sensitivities Results (part 2) - 20260206.xlsb,2026-05-08T12:18:32.046739Z,12/31/2025
Japan,"Pre-Tax, Pre-MI",Total Japan,Liabilities Detail - Gross of Reinsurance (GMM/PAA) Impacts to OCI,BE,"Partial RF+50, all tenors up to 2yr",Canadian Dollar,null,1.994885435,IFRS17 25Q4 Consolidated Sensitivities Results (part 2) - 20260206.xlsb,2026-05-08T12:18:32.046739Z,12/31/2025
Japan,"Pre-Tax, Pre-MI",Total Japan,Liabilities Detail - Gross of Reinsurance (GMM/PAA) Impacts to OCI,BE,"Partial RF+50, all tenors up to 5yr",Canadian Dollar,null,23.17895708,IFRS17 25Q4 Consolidated Sensitivities Results (part 2) - 20260206.xlsb,2026-05-08T12:18:32.046739Z,12/31/2025
Japan,"Pre-Tax, Pre-MI",Total Japan,Liabilities Detail - Gross of Reinsurance (GMM/PAA) Impacts to OCI,BE,"Partial RF+50, all tenors up to 7yr",Canadian Dollar,null,75.1697133,IFRS17 25Q4 Consolidated Sensitivities Results (part 2) - 20260206.xlsb,2026-05-08T12:18:32.046739Z,12/31/2025
Japan,"Pre-Tax, Pre-MI",Total Japan,Liabilities Detail - Gross of Reinsurance (GMM/PAA) Impacts to OCI,BE,"Partial RF+50, all tenors up to 10yr",Canadian Dollar,null,468.2233329,IFRS17 25Q4 Consolidated Sensitivities Results (part 2) - 20260206.xlsb,2026-05-08T12:18:32.046739Z,12/31/2025
Japan,"Pre-Tax, Pre-MI",Total Japan,Liabilities Detail - Gross of Reinsurance (GMM/PAA) Impacts to OCI,BE,"Partial RF+50, all tenors up to 20yr",Canadian Dollar,null,827.8757391,IFRS17 25Q4 Consolidated Sensitivities Results (part 2) - 20260206.xlsb,2026-05-08T12:18:32.046739Z,12/31/2025
Japan,"Pre-Tax, Pre-MI",Total Japan,Liabilities Detail - Gross of Reinsurance (GMM/PAA) Impacts to OCI,BE,"Partial RF-100, all tenors up to 2yr",Canadian Dollar,null,-4.754965011,IFRS17 25Q4 Consolidated Sensitivities Results (part 2) - 20260206.xlsb,2026-05-08T12:18:32.046739Z,12/31/2025
Japan,"Pre-Tax, Pre-MI",Total Japan,Liabilities Detail - Gross of Reinsurance (GMM/PAA) Impacts to OCI,BE,"Partial RF-100, all tenors up to 5yr",Canadian Dollar,null,-50.43987953,IFRS17 25Q4 Consolidated Sensitivities Results (part 2) - 20260206.xlsb,2026-05-08T12:18:32.046739Z,12/31/2025
Japan,"Pre-Tax, Pre-MI",Total Japan,Liabilities Detail - Gross of Reinsurance (GMM/PAA) Impacts to OCI,BE,"Partial RF-100, all tenors up to 7yr",Canadian Dollar,null,-162.6284431,IFRS17 25Q4 Consolidated Sensitivities Results (part 2) - 20260206.xlsb,2026-05-08T12:18:32.046739Z,12/31/2025
Japan,"Pre-Tax, Pre-MI",Total Japan,Liabilities Detail - Gross of Reinsurance (GMM/PAA) Impacts to OCI,BE,"Partial RF-100, all tenors up to 10yr",Canadian Dollar,null,-1032.062999,IFRS17 25Q4 Consolidated Sensitivities Results (part 2) - 20260206.xlsb,2026-05-08T12:18:32.046739Z,12/31/2025
