CURVEINSTANCEDATE,CURVENAME,CURVEINSTANCETYPE,CURVEDATASOURCE,RATEFORMCODE,INSTRUMENTTYPE,INSTRUMENTNAME,TENORNAME,EXTERNALLOOKUPKEY,ISSELECTED,RATEBID,RATEMID,RATEASK,LASTUPDATE,DATEOFFSET,SETTLEMENTDAYLAG,COMPOUNDINGTYPE,DAYCOUNTCODE,CALENDARNAME,INSTRUMENTCURRENCY,DATEROLLMETHODNAME,CURVETYPE,TERMINDAYS,CURVEVALUATIONDATE,INSTRUMENTID,CURVEINSTANCEID,CURVEVERSION,RATEFORMID,CURVEID,UNDERLYINGDATADATE,UNDERLYINGCREATEDTIME,PROCESS_DATE,PROCESS_TIMESTAMP,SOURCE_FILENAME,SOURCE,CREATED_BY,INGESTION_TS
2026-05-13,JPY_Provincial_Provincial,EOD,ALM,AggregatedSpread,Cash,3m.JPY_Provincial_Provincial,3m,3m,true,null,0.00122042,null,2026-05-13T16:30:06.197Z,null,0,Annual,Act/365,TKB,JPY,MODFOLLOWING,CreditSpread,90,null,1108,7074884,1,3,76,2026-05-01,2026-05-07T10:59:11.313Z,2026-05-14,2026-05-14T13:17:15.473Z,vcurvealmcorprates.csv,gwam_dev_ds.inv_ga_typed.alm_curvealmcorprates | Slice: 2026-04-08 09:15:18.790000 to 2026-05-13 16:45:47.950000,ADB,2026-05-15T09:01:25.000424Z
2026-05-13,JPY_Provincial_Provincial,EOD,ALM,AggregatedSpread,Cash,6m.JPY_Provincial_Provincial,6m,6m,true,null,0.00132042,null,2026-05-13T16:30:06.197Z,null,0,Annual,Act/365,TKB,JPY,MODFOLLOWING,CreditSpread,180,null,1109,7074884,1,3,76,2026-05-01,2026-05-07T10:59:11.313Z,2026-05-14,2026-05-14T13:17:15.473Z,vcurvealmcorprates.csv,gwam_dev_ds.inv_ga_typed.alm_curvealmcorprates | Slice: 2026-04-08 09:15:18.790000 to 2026-05-13 16:45:47.950000,ADB,2026-05-15T09:01:25.000424Z
2026-05-13,JPY_Provincial_Provincial,EOD,ALM,AggregatedSpread,Cash,1y.JPY_Provincial_Provincial,1y,1y,true,null,0.00142042,null,2026-05-13T16:30:06.197Z,null,1,Semi Annual,NL/365,TKB,JPY,MODFOLLOWING,CreditSpread,360,null,1110,7074884,1,3,76,2026-05-01,2026-05-07T10:59:11.313Z,2026-05-14,2026-05-14T13:17:15.473Z,vcurvealmcorprates.csv,gwam_dev_ds.inv_ga_typed.alm_curvealmcorprates | Slice: 2026-04-08 09:15:18.790000 to 2026-05-13 16:45:47.950000,ADB,2026-05-15T09:01:25.000424Z
2026-05-13,JPY_Provincial_Provincial,EOD,ALM,AggregatedSpread,Bond,2y.JPY_Provincial_Provincial,2y,2y,true,null,0.00155839,null,2026-05-13T16:30:06.197Z,null,1,Semi Annual,NL/365,TKB,JPY,MODFOLLOWING,CreditSpread,720,null,1111,7074884,1,3,76,2026-05-01,2026-05-07T10:59:11.313Z,2026-05-14,2026-05-14T13:17:15.473Z,vcurvealmcorprates.csv,gwam_dev_ds.inv_ga_typed.alm_curvealmcorprates | Slice: 2026-04-08 09:15:18.790000 to 2026-05-13 16:45:47.950000,ADB,2026-05-15T09:01:25.000424Z
2026-05-13,JPY_Provincial_Provincial,EOD,ALM,AggregatedSpread,Bond,3y.JPY_Provincial_Provincial,3y,3y,true,null,0.00147948,null,2026-05-13T16:30:06.197Z,null,1,Semi Annual,NL/365,TKB,JPY,MODFOLLOWING,CreditSpread,1080,null,1112,7074884,1,3,76,2026-05-01,2026-05-07T10:59:11.313Z,2026-05-14,2026-05-14T13:17:15.473Z,vcurvealmcorprates.csv,gwam_dev_ds.inv_ga_typed.alm_curvealmcorprates | Slice: 2026-04-08 09:15:18.790000 to 2026-05-13 16:45:47.950000,ADB,2026-05-15T09:01:25.000424Z
2026-05-13,JPY_Provincial_Provincial,EOD,ALM,AggregatedSpread,Bond,5y.JPY_Provincial_Provincial,5y,5y,true,null,0.00167653,null,2026-05-13T16:30:06.197Z,null,1,Semi Annual,NL/365,TKB,JPY,MODFOLLOWING,CreditSpread,1800,null,1113,7074884,1,3,76,2026-05-01,2026-05-07T10:59:11.313Z,2026-05-14,2026-05-14T13:17:15.473Z,vcurvealmcorprates.csv,gwam_dev_ds.inv_ga_typed.alm_curvealmcorprates | Slice: 2026-04-08 09:15:18.790000 to 2026-05-13 16:45:47.950000,ADB,2026-05-15T09:01:25.000424Z
2026-05-13,JPY_Provincial_Provincial,EOD,ALM,AggregatedSpread,Bond,7y.JPY_Provincial_Provincial,7y,7y,true,null,0.00202584,null,2026-05-13T16:30:06.197Z,null,1,Semi Annual,NL/365,TKB,JPY,MODFOLLOWING,CreditSpread,2520,null,1114,7074884,1,3,76,2026-05-01,2026-05-07T10:59:11.313Z,2026-05-14,2026-05-14T13:17:15.473Z,vcurvealmcorprates.csv,gwam_dev_ds.inv_ga_typed.alm_curvealmcorprates | Slice: 2026-04-08 09:15:18.790000 to 2026-05-13 16:45:47.950000,ADB,2026-05-15T09:01:25.000424Z
2026-05-13,JPY_Provincial_Provincial,EOD,ALM,AggregatedSpread,Bond,10y.JPY_Provincial_Provincial,10y,10y,true,null,0.00218113,null,2026-05-13T16:30:06.197Z,null,1,Semi Annual,NL/365,TKB,JPY,MODFOLLOWING,CreditSpread,3600,null,1115,7074884,1,3,76,2026-05-01,2026-05-07T10:59:11.313Z,2026-05-14,2026-05-14T13:17:15.473Z,vcurvealmcorprates.csv,gwam_dev_ds.inv_ga_typed.alm_curvealmcorprates | Slice: 2026-04-08 09:15:18.790000 to 2026-05-13 16:45:47.950000,ADB,2026-05-15T09:01:25.000424Z
2026-05-13,JPY_Provincial_Provincial,EOD,ALM,AggregatedSpread,Bond,20y.JPY_Provincial_Provincial,20y,20y,true,null,0.00303346,null,2026-05-13T16:30:06.197Z,null,1,Semi Annual,NL/365,TKB,JPY,MODFOLLOWING,CreditSpread,7200,null,1116,7074884,1,3,76,2026-05-01,2026-05-07T10:59:11.313Z,2026-05-14,2026-05-14T13:17:15.473Z,vcurvealmcorprates.csv,gwam_dev_ds.inv_ga_typed.alm_curvealmcorprates | Slice: 2026-04-08 09:15:18.790000 to 2026-05-13 16:45:47.950000,ADB,2026-05-15T09:01:25.000424Z
2026-05-13,JPY_Provincial_Provincial,EOD,ALM,AggregatedSpread,Bond,30y.JPY_Provincial_Provincial,30y,30y,true,null,0.00333346,null,2026-05-13T16:30:06.197Z,null,1,Semi Annual,NL/365,TKB,JPY,MODFOLLOWING,CreditSpread,10800,null,1117,7074884,1,3,76,2026-05-01,2026-05-07T10:59:11.313Z,2026-05-14,2026-05-14T13:17:15.473Z,vcurvealmcorprates.csv,gwam_dev_ds.inv_ga_typed.alm_curvealmcorprates | Slice: 2026-04-08 09:15:18.790000 to 2026-05-13 16:45:47.950000,ADB,2026-05-15T09:01:25.000424Z
